Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
196;Eric Gordon;SG;33;HOU;54;43;29.6;4.8;10.1;0.474;2.2;5.4;0.408;2.6;4.8;0.548;0.582;1.9;2.5;0.778;0.3;1.7;2;2.8;0.5;0.3;1.9;1.1;13.8
197;Devonte' Graham;PG;26;NOP;65;57;29.8;4.1;11.4;0.362;2.7;7.9;0.344;1.4;3.5;0.402;0.481;1.6;1.9;0.831;0.5;2;2.5;4.4;1;0.2;1.5;1.4;12.5
198;Jerami Grant;PF;27;DET;44;44;32.6;6.3;15;0.418;1.8;5.4;0.339;4.5;9.6;0.463;0.48;4.6;5.5;0.832;0.6;3.5;4.1;2.4;1;1.1;1.8;2.3;19
199;Hassani Gravett;PG;25;ORL;8;3;21.4;2.3;4.8;0.474;1.4;3.3;0.423;0.9;1.5;0.583;0.618;0.4;0.5;0.75;0.1;2.5;2.6;2.5;0.6;0.1;1.1;1.6;6.3
200;Danny Green;SF;34;PHI;48;25;22.1;2.1;5.3;0.39;1.6;4.4;0.373;0.4;0.9;0.476;0.545;0.2;0.2;0.9;0.5;1.9;2.4;1;1;0.6;0.8;1.7;6
201;Draymond Green;PF;31;GSW;36;34;29.4;3.1;5.8;0.531;0.4;1.3;0.277;2.7;4.4;0.606;0.563;1.2;2;0.606;1.1;6.5;7.6;7.2;1.4;1.1;3.1;2.7;7.7
202;Jalen Green;SG;19;HOU;54;54;31.1;5.5;13.3;0.415;2.1;6.4;0.326;3.4;6.9;0.497;0.493;2.6;3.3;0.799;0.5;2.6;3.1;2.6;0.7;0.2;2.1;1.5;15.8
203;JaMychal Green;PF;31;DEN;57;7;16.2;2.5;5.1;0.483;0.5;2;0.265;1.9;3.1;0.621;0.534;1.3;1.4;0.889;1.2;3.1;4.3;0.8;0.7;0.4;0.9;2.4;6.7
204;Javonte Green;SF;28;CHI;52;40;24.2;2.8;5.2;0.541;0.6;1.6;0.378;2.2;3.6;0.613;0.599;1.3;1.6;0.84;1.5;2.8;4.3;1;1;0.5;0.5;2.2;7.5
205;Jeff Green;C;35;DEN;65;53;24.6;3.7;7.2;0.518;0.7;2.2;0.301;3;4.9;0.618;0.566;2.2;2.7;0.833;0.6;2.6;3.2;1.3;0.4;0.4;1;2;10.3
206;Josh Green;SG;21;DAL;54;3;15.2;1.9;3.7;0.505;0.4;1;0.345;1.5;2.7;0.565;0.552;0.5;0.7;0.7;0.8;1.6;2.4;1.2;0.7;0.2;0.6;1.8;4.6
207;Blake Griffin;PF;32;BRK;53;24;17.4;2.4;5.7;0.419;0.6;2.6;0.248;1.8;3.1;0.56;0.475;1;1.4;0.716;1.1;3;4.1;1.9;0.5;0.2;0.5;1.7;6.4
208;Quentin Grimes;SG;21;NYK;40;6;17.4;2.2;5.2;0.421;1.7;4.2;0.398;0.6;1.1;0.512;0.579;0.3;0.4;0.647;0.6;1.4;1.9;1;0.7;0.3;0.6;1.5;6.3
209;Kyle Guy;SG;24;MIA;18;0;10.2;1.4;3.5;0.413;0.8;2.1;0.368;0.7;1.4;0.48;0.524;0.4;0.7;0.667;0.2;0.7;0.8;0.9;0.4;0.1;0.7;0.7;4.1
210;Rui Hachimura;PF;23;WAS;28;0;19.7;3.8;7.8;0.489;1.3;2.6;0.486;2.6;5.3;0.49;0.568;1.1;1.4;0.775;0.5;2.8;3.3;1;0.7;0.2;0.8;1.3;10
211;Tyrese Haliburton;SG-PG;21;TOT;65;65;35.1;5.5;11.9;0.467;2.2;5.2;0.416;3.4;6.6;0.507;0.558;1.9;2.3;0.833;0.7;3.3;4;7.9;1.8;0.6;2.6;1.5;15.2
211;Tyrese Haliburton;SG;21;SAC;51;51;34.5;5.3;11.5;0.457;2;4.9;0.413;3.2;6.5;0.491;0.546;1.7;2;0.837;0.8;3.1;3.9;7.4;1.7;0.7;2.3;1.4;14.3
211;Tyrese Haliburton;PG;21;IND;14;14;37.4;6.6;13.2;0.497;2.6;6.2;0.425;3.9;7;0.561;0.597;2.7;3.3;0.826;0.5;3.9;4.4;9.4;2;0.5;3.8;1.7;18.5
212;Tyler Hall;SG;24;NYK;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;R.J. Hampton;SG;20;ORL;52;4;20.5;2.5;6.6;0.384;1;2.7;0.367;1.6;3.9;0.395;0.458;1.2;1.9;0.612;0.3;2.6;2.9;2.3;0.7;0.2;1.3;1.5;7.2
214;Tim Hardaway Jr.;SG;29;DAL;42;20;29.6;5;12.6;0.394;2.4;7.2;0.336;2.5;5.4;0.473;0.491;1.9;2.5;0.757;0.3;3.4;3.7;2.2;0.9;0.1;0.8;1.8;14.2
215;James Harden;PG-SG;32;TOT;53;53;37.1;6.5;15.6;0.416;2.3;6.9;0.338;4.2;8.8;0.477;0.49;7.2;8.3;0.872;0.9;6.9;7.8;10.2;1.3;0.6;4.5;2.4;22.5
215;James Harden;PG;32;BRK;44;44;37;6.6;16;0.414;2.3;7;0.332;4.3;9.1;0.476;0.486;6.9;8;0.869;1;7;8;10.2;1.3;0.7;4.8;2.4;22.5
215;James Harden;SG;32;PHI;9;9;37.6;5.9;13.7;0.431;2.3;6.3;0.368;3.6;7.3;0.485;0.516;8.7;9.8;0.886;0.4;6.3;6.8;10.6;1.4;0.1;3.2;2.7;22.8
216;Maurice Harkless;SF;28;SAC;46;24;18.7;1.8;3.9;0.459;0.7;2.2;0.307;1.1;1.7;0.65;0.544;0.4;0.6;0.714;0.3;2.2;2.4;0.5;0.6;0.5;0.7;1.7;4.7
217;Jared Harper;PG;24;NOP;2;0;5;1.5;3.5;0.429;0.5;1;0.5;1;2.5;0.4;0.5;0;0;0;0.5;0;0.5;1.5;0;0.5;0.5;1;3.5
218;Montrezl Harrell;C;28;TOT;60;3;24.2;5.3;8.3;0.642;0.1;0.3;0.235;5.2;8;0.657;0.646;3.2;4.5;0.716;2.2;4.4;6.6;2;0.4;0.6;1.1;2;13.9
