Country,Year,Area Harvested,Production,Imports,Beginning Stocks,Domestic Consumption,Feed Dom. Consumption,Exports,Ending Stocks
Armenia,1972/1973,210900,337486,65618,89244,352619,84125,64801,74928
Armenia,1971/1972,212736,344119,56330,80529,335674,81205,56060,89244
Armenia,1970/1971,206979,306531,55808,103543,328874,78680,56479,80529
Armenia,1969/1970,217824,304021,51418,121311,317390,70009,55817,103543
Armenia,1968/1969,223894,323774,48500,97664,298359,61276,50268,121311
Armenia,1967/1968,219201,291948,52290,87622,280645,49040,53551,97664
Armenia,1966/1967,213840,300651,57611,60734,272970,43448,58404,87622
Armenia,1965/1966,215248,259312,60090,78479,276081,48349,61066,60734
Armenia,1964/1965,215940,264911,49086,70327,250976,33606,54869,78479
Armenia,1963/1964,206307,230387,56641,75846,234282,23646,58265,70327
Armenia,1962/1963,206878,246780,43168,69850,237725,29958,46227,75846
Armenia,1961/1962,203458,220049,46039,82942,232231,33275,46949,69850
Armenia,1960/1961,202200,233451,41527,80278,228550,29977,43857,82849
Argentina,2019/2020,218037,765551,176532,277896,751028,148470,180676,288275
Argentina,2018/2019,215467,731282,169911,282727,733133,139757,172891,277896
Argentina,2017/2018,218284,762309,180025,262723,739865,146501,182465,282727
Argentina,2016/2017,222331,756358,179625,244877,734643,147348,183494,262723
Argentina,2015/2016,224025,738161,169419,222764,712892,141171,172575,244877
Argentina,2014/2015,221340,730412,159378,197706,700514,132365,164218,222764
Argentina,2013/2014,220014,716600,158760,179534,691263,127412,165925,197706
Argentina,2012/2013,216188,660399,146085,199418,688299,139629,138069,179534
Argentina,2011/2012,221248,698705,150559,199211,691413,149928,157644,199418
Argentina,2010/2011,217108,650662,131878,204078,654367,117645,133040,199211
Argentina,2009/2010,225779,688180,133605,170062,651005,123295,136764,204078
Argentina,2008/2009,224206,684784,137703,128475,636779,123963,144121,170062
Argentina,2007/2008,216923,612228,113496,133491,614350,105024,116390,128475
Argentina,2006/2007,212317,596688,113934,153280,618852,113084,111559,133491
Argentina,2005/2006,217512,618828,111572,156427,616153,117699,117394,153280
Argentina,2004/2005,215748,626747,110440,135912,605591,110715,111081,156427
Argentina,2003/2004,207925,555689,101107,169109,581474,101680,108519,135912
Argentina,2002/2003,213437,569667,103712,203297,602226,116141,105341,169109
Argentina,2001/2002,214224,583871,106234,206051,587076,111942,105783,203297
Argentina,2000/2001,215340,582787,99344,209072,583957,109846,101195,206051
